,0
0,theta_store
1,17.0
2,17.0
3,17.0
4,17.0
5,17.0
6,17.5
7,17.5
8,17.5
9,17.5
10,17.5
11,17.333333333333332
12,17.333333333333332
13,17.333333333333332
14,17.333333333333332
15,17.333333333333332
16,18.0
17,18.0
18,18.0
19,18.0
20,18.0
21,18.2
22,18.2
23,18.2
24,18.2
25,18.2
26,17.833333333333332
27,17.833333333333332
28,17.833333333333332
29,17.833333333333332
30,17.833333333333332
31,17.714285714285715
32,17.714285714285715
33,17.714285714285715
34,17.714285714285715
35,17.714285714285715
36,17.875
37,17.875
38,17.875
39,17.875
40,17.875
41,17.555555555555557
42,17.555555555555557
43,17.555555555555557
44,17.555555555555557
45,17.555555555555557
46,17.6
47,17.6
48,17.6
49,17.6
50,17.6
51,17.545454545454547
52,17.545454545454547
53,17.545454545454547
54,17.545454545454547
55,17.545454545454547
56,17.333333333333332
57,17.333333333333332
58,17.333333333333332
59,17.333333333333332
60,17.333333333333332
61,17.46153846153846
62,17.46153846153846
63,17.46153846153846
64,17.46153846153846
65,17.46153846153846
66,17.428571428571427
67,17.428571428571427
68,17.428571428571427
69,17.428571428571427
70,17.428571428571427
71,17.533333333333335
72,17.533333333333335
73,17.533333333333335
74,17.533333333333335
75,17.533333333333335
76,17.3125
77,17.3125
78,17.3125
79,17.3125
80,17.3125
81,17.470588235294116
82,17.470588235294116
83,17.470588235294116
84,17.470588235294116
85,17.470588235294116
86,17.61111111111111
87,17.61111111111111
88,17.61111111111111
89,17.61111111111111
90,17.61111111111111
91,17.526315789473685
92,17.526315789473685
93,17.526315789473685
94,17.526315789473685
95,17.526315789473685
96,17.65
97,17.65
98,17.65
99,17.65
100,17.65
101,17.61904761904762
102,17.61904761904762
103,17.61904761904762
104,17.61904761904762
105,17.61904761904762
106,17.681818181818183
107,17.681818181818183
108,17.681818181818183
109,17.681818181818183
110,17.681818181818183
111,17.695652173913043
112,17.695652173913043
113,17.695652173913043
114,17.695652173913043
115,17.695652173913043
116,17.708333333333332
117,17.708333333333332
118,17.708333333333332
119,17.708333333333332
120,17.708333333333332
121,17.8
122,17.8
123,17.8
124,17.8
125,17.8
126,17.76923076923077
127,17.76923076923077
128,17.76923076923077
129,17.76923076923077
130,17.76923076923077
131,17.814814814814813
132,17.814814814814813
133,17.814814814814813
134,17.814814814814813
135,17.814814814814813
136,17.821428571428573
137,17.821428571428573
138,17.821428571428573
139,17.821428571428573
140,17.821428571428573
141,17.82758620689655
142,17.82758620689655
143,17.82758620689655
144,17.82758620689655
145,17.82758620689655
146,17.833333333333332
147,17.833333333333332
148,17.833333333333332
149,17.833333333333332
150,17.833333333333332
151,17.70967741935484
152,17.70967741935484
153,17.70967741935484
154,17.70967741935484
155,17.70967741935484
156,17.6875
157,17.6875
158,17.6875
159,17.6875
160,17.6875
161,17.727272727272727
162,17.727272727272727
163,17.727272727272727
164,17.727272727272727
165,17.727272727272727
