,0,1,2,3,4,5
0,0.0,2.0,5.0,1.0,1.0,0.0
1,1.0,2.0,5.0,1.0,1.0,0.0
2,6.0,2.0,5.0,1.0,1.0,0.0
3,7.0,2.0,5.0,1.0,1.0,0.0
4,10.0,2.0,5.0,1.0,1.0,0.0
5,14.0,1.0,1.0,0.0,0.0875,1.0
6,19.0,1.0,2.0,0.0,0.0875,1.0
7,40.0,1.0,2.0,0.0,0.0875,1.0
8,51.0,1.0,2.0,0.0,0.0875,1.0
9,94.0,1.0,2.0,0.0,0.0875,1.0
10,11.0,2.0,5.0,0.0,0.0875,1.0
11,153.0,0.0,4.0,0.0,0.07500000000000001,2.0
12,166.0,0.0,4.0,0.0,0.07500000000000001,2.0
13,202.0,0.0,4.0,0.0,0.07500000000000001,2.0
14,223.0,0.0,4.0,0.0,0.07500000000000001,2.0
15,276.0,0.0,4.0,0.0,0.07500000000000001,2.0
16,98.0,2.0,4.0,0.0,0.07500000000000001,2.0
17,360.0,3.0,1.0,0.0,0.0625,3.0
18,375.0,3.0,2.0,0.0,0.0625,3.0
19,379.0,3.0,1.0,0.0,0.0625,3.0
20,442.0,3.0,1.0,0.0,0.0625,3.0
21,449.0,3.0,1.0,0.0,0.0625,3.0
22,278.0,2.0,5.0,0.0,0.0625,3.0
