,0,1,2,3
0,19297.0,3.0,16.0,16.0
1,19298.0,3.0,15.0,16.0
2,19300.0,3.0,14.0,16.0
3,19303.0,3.0,14.0,16.0
4,19305.0,3.0,15.0,16.0
5,19306.0,5.0,13.0,16.0
6,19308.0,5.0,14.0,16.0
7,19309.0,5.0,16.0,16.0
8,19312.0,5.0,13.0,16.0
9,19314.0,5.0,15.0,16.0
10,19321.0,15.0,9.0,16.0
11,19325.0,15.0,10.0,16.0
12,19327.0,15.0,8.0,16.0
13,19328.0,15.0,10.0,16.0
14,19329.0,15.0,8.0,16.0
15,19331.0,7.0,15.0,16.0
16,19332.0,7.0,15.0,16.0
17,19334.0,7.0,15.0,16.0
18,19335.0,7.0,16.0,16.0
19,19340.0,7.0,15.0,16.0
20,19342.0,6.0,12.0,16.0
21,19343.0,6.0,11.0,16.0
22,19344.0,6.0,12.0,16.0
23,19345.0,6.0,12.0,16.0
24,19348.0,6.0,12.0,16.0
25,19353.0,12.0,11.0,16.0
26,19358.0,12.0,11.0,16.0
27,19361.0,12.0,11.0,16.0
28,19366.0,12.0,11.0,16.0
29,19369.0,12.0,10.0,16.0
30,19373.0,10.0,17.0,16.0
31,19381.0,10.0,16.0,16.0
32,19384.0,10.0,17.0,16.0
33,19388.0,10.0,17.0,16.0
34,19395.0,10.0,17.0,16.0
35,19396.0,14.0,16.0,16.0
36,19407.0,14.0,19.0,16.0
37,19414.0,14.0,16.0,16.0
38,19418.0,14.0,17.0,16.0
39,19420.0,14.0,18.0,16.0
40,19421.0,4.0,13.0,16.0
41,19426.0,4.0,15.0,16.0
42,19437.0,4.0,13.0,16.0
43,19438.0,4.0,14.0,16.0
44,19449.0,4.0,15.0,16.0
45,19454.0,13.0,12.0,16.0
46,19460.0,13.0,12.0,16.0
47,19467.0,13.0,10.0,16.0
48,19468.0,13.0,12.0,16.0
49,19470.0,13.0,12.0,16.0
50,19472.0,1.0,6.0,16.0
51,19479.0,1.0,6.0,16.0
52,19481.0,1.0,6.0,16.0
53,19485.0,1.0,6.0,16.0
54,19487.0,1.0,8.0,16.0
55,19490.0,8.0,12.0,16.0
56,19492.0,8.0,13.0,16.0
57,19493.0,8.0,13.0,16.0
58,19494.0,8.0,12.0,16.0
59,19496.0,8.0,12.0,16.0
60,19499.0,11.0,7.0,16.0
61,19501.0,11.0,7.0,16.0
62,19502.0,11.0,7.0,16.0
63,19504.0,11.0,5.0,16.0
64,19507.0,11.0,7.0,16.0
65,19511.0,9.0,13.0,16.0
66,19516.0,9.0,13.0,16.0
67,19519.0,9.0,13.0,16.0
68,19524.0,9.0,14.0,16.0
69,19525.0,9.0,14.0,16.0
70,19526.0,2.0,8.0,16.0
71,19527.0,2.0,10.0,16.0
72,19531.0,2.0,9.0,16.0
73,19532.0,2.0,10.0,16.0
74,19534.0,2.0,8.0,16.0
75,19537.0,0.0,17.0,16.0
76,19538.0,0.0,18.0,16.0
77,19540.0,0.0,17.0,16.0
78,19541.0,0.0,16.0,16.0
79,19542.0,0.0,17.0,16.0
80,19545.0,3.0,13.0,16.0
81,19546.0,5.0,15.0,16.0
82,19550.0,15.0,8.0,16.0
83,19560.0,7.0,15.0,16.0
84,19561.0,6.0,12.0,16.0
85,19567.0,12.0,10.0,16.0
86,19568.0,10.0,18.0,16.0
87,19571.0,14.0,18.0,16.0
88,19574.0,4.0,13.0,16.0
89,19582.0,13.0,11.0,16.0
90,19583.0,1.0,6.0,16.0
91,19585.0,8.0,12.0,16.0
92,19586.0,11.0,6.0,16.0
93,19588.0,9.0,13.0,16.0
94,19592.0,2.0,10.0,16.0
95,19598.0,0.0,19.0,16.0
96,19601.0,3.0,15.0,16.0
97,19607.0,5.0,14.0,16.0
98,19611.0,15.0,9.0,16.0
99,19616.0,7.0,15.0,16.0
100,19621.0,6.0,11.0,16.0
101,19624.0,12.0,11.0,16.0
102,19625.0,10.0,16.0,16.0
103,19632.0,14.0,19.0,16.0
104,19633.0,4.0,14.0,16.0
105,19634.0,13.0,13.0,16.0
106,19637.0,1.0,4.0,16.0
107,19644.0,8.0,13.0,16.0
108,19646.0,11.0,5.0,16.0
109,19647.0,9.0,14.0,16.0
110,19648.0,2.0,10.0,16.0
111,19652.0,0.0,17.0,16.0
112,19653.0,3.0,16.0,16.0
113,19654.0,5.0,14.0,16.0
114,19656.0,15.0,10.0,16.0
115,19658.0,7.0,15.0,16.0
116,19661.0,6.0,12.0,16.0
117,19663.0,12.0,11.0,16.0
118,19664.0,10.0,17.0,16.0
119,19667.0,14.0,19.0,16.0
120,19672.0,4.0,15.0,16.0
121,19673.0,13.0,12.0,16.0
122,19674.0,1.0,7.0,16.0
123,19677.0,8.0,12.0,16.0
124,19681.0,11.0,9.0,16.0
125,19683.0,9.0,14.0,16.0
126,19684.0,2.0,9.0,16.0
127,19685.0,0.0,17.0,16.0
128,19686.0,3.0,15.0,16.0
129,19687.0,5.0,15.0,16.0
130,19688.0,15.0,10.0,16.0
131,19689.0,7.0,14.0,16.0
132,19691.0,6.0,12.0,16.0
133,19692.0,12.0,11.0,16.0
134,19694.0,10.0,17.0,16.0
135,19703.0,14.0,18.0,16.0
136,19704.0,4.0,14.0,16.0
137,19716.0,13.0,12.0,16.0
138,19722.0,1.0,6.0,16.0
139,19724.0,8.0,12.0,16.0
140,19725.0,11.0,7.0,16.0
141,19730.0,9.0,13.0,16.0
142,19732.0,2.0,9.0,16.0
143,19737.0,0.0,18.0,16.0
144,19739.0,3.0,13.0,16.0
145,19741.0,5.0,14.0,16.0
146,19744.0,15.0,9.0,16.0
147,19749.0,7.0,15.0,16.0
148,19753.0,6.0,13.0,16.0
149,19754.0,12.0,10.0,16.0
150,19756.0,10.0,17.0,16.0
151,19757.0,14.0,18.0,16.0
152,19760.0,4.0,15.0,16.0
153,19763.0,13.0,12.0,16.0
154,19765.0,1.0,6.0,16.0
155,19766.0,8.0,13.0,16.0
156,19767.0,11.0,7.0,16.0
157,19769.0,9.0,13.0,16.0
158,19771.0,2.0,9.0,16.0
159,19773.0,0.0,17.0,16.0
160,19774.0,3.0,14.0,16.0
161,19778.0,5.0,16.0,16.0
162,19779.0,15.0,9.0,16.0
163,19782.0,7.0,15.0,16.0
164,19785.0,6.0,12.0,16.0
165,19788.0,12.0,11.0,16.0
166,19791.0,10.0,18.0,16.0
167,19794.0,14.0,18.0,16.0
168,19797.0,4.0,13.0,16.0
169,19800.0,13.0,13.0,16.0
170,19801.0,1.0,6.0,16.0
171,19803.0,8.0,12.0,16.0
172,19807.0,11.0,8.0,16.0
173,19810.0,9.0,13.0,16.0
174,19816.0,2.0,9.0,16.0
175,19818.0,0.0,19.0,16.0
176,19820.0,3.0,14.0,16.0
177,19827.0,5.0,14.0,16.0
178,19828.0,15.0,10.0,16.0
179,19829.0,7.0,16.0,16.0
180,19830.0,6.0,13.0,16.0
181,19831.0,12.0,11.0,16.0
182,19832.0,10.0,17.0,16.0
183,19835.0,14.0,18.0,16.0
184,19840.0,4.0,13.0,16.0
185,19841.0,13.0,12.0,16.0
186,19842.0,1.0,7.0,16.0
187,19843.0,8.0,12.0,16.0
188,19846.0,11.0,8.0,16.0
189,19847.0,9.0,13.0,16.0
190,19855.0,2.0,10.0,16.0
191,19857.0,0.0,19.0,16.0
192,19859.0,3.0,16.0,16.0
193,19861.0,5.0,13.0,16.0
194,19864.0,15.0,9.0,16.0
195,19865.0,7.0,15.0,16.0
196,19868.0,6.0,11.0,16.0
197,19874.0,12.0,11.0,16.0
198,19876.0,10.0,17.0,16.0
199,19878.0,14.0,20.0,16.0
200,19881.0,4.0,15.0,16.0
201,19888.0,13.0,13.0,16.0
202,19889.0,1.0,6.0,16.0
203,19893.0,8.0,13.0,16.0
204,19894.0,11.0,6.0,16.0
205,19898.0,9.0,14.0,16.0
206,19899.0,2.0,9.0,16.0
207,19900.0,0.0,17.0,16.0
208,19902.0,3.0,16.0,16.0
209,19904.0,5.0,14.0,16.0
210,19905.0,15.0,9.0,16.0
211,19906.0,7.0,15.0,16.0
212,19909.0,6.0,13.0,16.0
213,19910.0,12.0,11.0,16.0
214,19916.0,10.0,18.0,16.0
215,19922.0,14.0,18.0,16.0
216,19923.0,4.0,14.0,16.0
217,19924.0,13.0,13.0,16.0
218,19929.0,1.0,6.0,16.0
219,19934.0,8.0,12.0,16.0
220,19936.0,11.0,7.0,16.0
221,19943.0,9.0,14.0,16.0
222,19944.0,2.0,9.0,16.0
223,19948.0,0.0,18.0,16.0
224,19950.0,3.0,15.0,16.0
225,19951.0,5.0,13.0,16.0
226,19953.0,15.0,9.0,16.0
227,19960.0,7.0,16.0,16.0
228,19962.0,6.0,12.0,16.0
229,19965.0,12.0,11.0,16.0
230,19967.0,10.0,17.0,16.0
231,19970.0,14.0,18.0,16.0
232,19972.0,4.0,14.0,16.0
233,19973.0,13.0,12.0,16.0
234,19974.0,1.0,4.0,16.0
235,19975.0,8.0,13.0,16.0
236,19977.0,11.0,8.0,16.0
237,19978.0,9.0,12.0,16.0
238,19979.0,2.0,8.0,16.0
239,19981.0,0.0,17.0,16.0
240,19983.0,3.0,14.0,16.0
241,19989.0,5.0,14.0,16.0
242,19993.0,15.0,10.0,16.0
243,19996.0,7.0,15.0,16.0
244,19999.0,6.0,12.0,16.0
245,20000.0,12.0,11.0,16.0
246,20003.0,10.0,17.0,16.0
247,20005.0,14.0,17.0,16.0
248,20007.0,4.0,14.0,16.0
249,20009.0,13.0,12.0,16.0
250,20015.0,1.0,5.0,16.0
251,20016.0,8.0,12.0,16.0
252,20019.0,11.0,6.0,16.0
253,20020.0,9.0,11.0,16.0
254,20023.0,2.0,8.0,16.0
255,20024.0,0.0,19.0,16.0
256,20029.0,3.0,14.0,16.0
257,20030.0,5.0,13.0,16.0
258,20033.0,15.0,11.0,16.0
259,20035.0,7.0,15.0,16.0
