,0,1,2,3
0,18872.0,10.0,17.0,16.0
1,18879.0,10.0,16.0,16.0
2,18880.0,10.0,16.0,16.0
3,18883.0,10.0,17.0,16.0
4,18884.0,10.0,16.0,16.0
5,18885.0,14.0,13.0,16.0
6,18888.0,14.0,13.0,16.0
7,18893.0,14.0,13.0,16.0
8,18895.0,14.0,13.0,16.0
9,18896.0,14.0,13.0,16.0
10,18898.0,7.0,16.0,16.0
11,18899.0,7.0,16.0,16.0
12,18901.0,7.0,16.0,16.0
13,18902.0,7.0,16.0,16.0
14,18907.0,7.0,16.0,16.0
15,18914.0,5.0,21.0,16.0
16,18919.0,5.0,22.0,16.0
17,18924.0,5.0,20.0,16.0
18,18925.0,5.0,19.0,16.0
19,18927.0,5.0,21.0,16.0
20,18945.0,9.0,5.0,16.0
21,18949.0,9.0,4.0,16.0
22,18953.0,9.0,5.0,16.0
23,18956.0,9.0,3.0,16.0
24,18957.0,9.0,4.0,16.0
25,18958.0,3.0,19.0,16.0
26,18961.0,3.0,18.0,16.0
27,18965.0,3.0,17.0,16.0
28,18967.0,3.0,19.0,16.0
29,18975.0,3.0,19.0,16.0
30,18983.0,4.0,11.0,16.0
31,18985.0,4.0,11.0,16.0
32,18986.0,4.0,11.0,16.0
33,18991.0,4.0,11.0,16.0
34,18995.0,4.0,11.0,16.0
35,18996.0,0.0,4.0,16.0
36,19005.0,0.0,4.0,16.0
37,19008.0,0.0,6.0,16.0
38,19011.0,0.0,5.0,16.0
39,19019.0,0.0,4.0,16.0
40,19021.0,13.0,11.0,16.0
41,19023.0,13.0,12.0,16.0
42,19027.0,13.0,11.0,16.0
43,19030.0,13.0,12.0,16.0
44,19033.0,13.0,12.0,16.0
45,19034.0,6.0,15.0,16.0
46,19042.0,6.0,16.0,16.0
47,19046.0,6.0,16.0,16.0
48,19047.0,6.0,15.0,16.0
49,19048.0,6.0,16.0,16.0
50,19051.0,8.0,7.0,16.0
51,19053.0,8.0,7.0,16.0
52,19054.0,8.0,7.0,16.0
53,19056.0,8.0,7.0,16.0
54,19057.0,8.0,8.0,16.0
55,19059.0,12.0,19.0,16.0
56,19060.0,12.0,20.0,16.0
57,19062.0,12.0,18.0,16.0
58,19063.0,12.0,19.0,16.0
59,19064.0,12.0,19.0,16.0
60,19068.0,15.0,18.0,16.0
61,19069.0,15.0,18.0,16.0
62,19071.0,15.0,15.0,16.0
63,19073.0,15.0,19.0,16.0
64,19076.0,15.0,17.0,16.0
65,19078.0,11.0,8.0,16.0
66,19081.0,11.0,6.0,16.0
67,19085.0,11.0,6.0,16.0
68,19086.0,11.0,7.0,16.0
69,19091.0,11.0,7.0,16.0
70,19094.0,2.0,3.0,16.0
71,19096.0,2.0,5.0,16.0
72,19100.0,2.0,6.0,16.0
73,19104.0,2.0,5.0,16.0
74,19105.0,2.0,5.0,16.0
75,19106.0,1.0,12.0,16.0
76,19110.0,1.0,12.0,16.0
77,19114.0,1.0,12.0,16.0
78,19117.0,1.0,12.0,16.0
79,19122.0,1.0,12.0,16.0
80,19128.0,10.0,16.0,16.0
81,19130.0,14.0,13.0,16.0
82,19140.0,7.0,15.0,16.0
83,19146.0,5.0,19.0,16.0
84,19147.0,9.0,5.0,16.0
85,19149.0,3.0,18.0,16.0
86,19156.0,4.0,11.0,16.0
87,19161.0,0.0,3.0,16.0
88,19162.0,13.0,10.0,16.0
89,19165.0,6.0,16.0,16.0
90,19168.0,8.0,7.0,16.0
91,19169.0,12.0,18.0,16.0
92,19170.0,15.0,18.0,16.0
93,19173.0,11.0,7.0,16.0
94,19175.0,2.0,5.0,16.0
95,19176.0,1.0,11.0,16.0
96,19177.0,10.0,16.0,16.0
97,19180.0,14.0,13.0,16.0
98,19182.0,7.0,16.0,16.0
99,19183.0,5.0,20.0,16.0
100,19188.0,9.0,6.0,16.0
101,19190.0,3.0,19.0,16.0
102,19193.0,4.0,13.0,16.0
103,19195.0,0.0,6.0,16.0
104,19197.0,13.0,10.0,16.0
105,19199.0,6.0,17.0,16.0
106,19200.0,8.0,7.0,16.0
107,19204.0,12.0,19.0,16.0
108,19214.0,15.0,17.0,16.0
109,19216.0,11.0,7.0,16.0
110,19222.0,2.0,5.0,16.0
111,19223.0,1.0,12.0,16.0
112,19227.0,10.0,17.0,16.0
113,19229.0,14.0,14.0,16.0
114,19230.0,7.0,16.0,16.0
115,19233.0,5.0,19.0,16.0
116,19234.0,9.0,4.0,16.0
117,19237.0,3.0,19.0,16.0
118,19238.0,4.0,11.0,16.0
119,19239.0,0.0,4.0,16.0
120,19241.0,13.0,10.0,16.0
121,19247.0,6.0,17.0,16.0
122,19251.0,8.0,8.0,16.0
123,19253.0,12.0,19.0,16.0
124,19254.0,15.0,18.0,16.0
125,19257.0,11.0,5.0,16.0
126,19258.0,2.0,4.0,16.0
127,19260.0,1.0,12.0,16.0
128,19261.0,10.0,17.0,16.0
129,19262.0,14.0,13.0,16.0
130,19263.0,7.0,16.0,16.0
131,19266.0,5.0,21.0,16.0
132,19280.0,9.0,5.0,16.0
133,19292.0,3.0,19.0,16.0
134,19293.0,4.0,10.0,16.0
135,19295.0,0.0,6.0,16.0
136,19296.0,13.0,11.0,16.0
137,19301.0,6.0,16.0,16.0
138,19302.0,8.0,6.0,16.0
139,19310.0,12.0,18.0,16.0
140,19311.0,15.0,18.0,16.0
141,19315.0,11.0,7.0,16.0
142,19322.0,2.0,5.0,16.0
143,19323.0,1.0,10.0,16.0
144,19336.0,10.0,18.0,16.0
145,19337.0,14.0,14.0,16.0
146,19346.0,7.0,15.0,16.0
147,19347.0,5.0,20.0,16.0
148,19352.0,9.0,4.0,16.0
149,19354.0,3.0,20.0,16.0
150,19355.0,4.0,10.0,16.0
151,19363.0,0.0,5.0,16.0
152,19365.0,13.0,11.0,16.0
153,19367.0,6.0,15.0,16.0
154,19368.0,8.0,7.0,16.0
155,19370.0,12.0,19.0,16.0
156,19371.0,15.0,18.0,16.0
157,19374.0,11.0,7.0,16.0
158,19375.0,2.0,5.0,16.0
159,19376.0,1.0,12.0,16.0
160,19379.0,10.0,17.0,16.0
161,19380.0,14.0,13.0,16.0
162,19385.0,7.0,18.0,16.0
163,19387.0,5.0,19.0,16.0
164,19390.0,9.0,5.0,16.0
165,19391.0,3.0,18.0,16.0
166,19393.0,4.0,11.0,16.0
167,19394.0,0.0,3.0,16.0
168,19398.0,13.0,10.0,16.0
169,19405.0,6.0,16.0,16.0
170,19408.0,8.0,8.0,16.0
171,19410.0,12.0,18.0,16.0
172,19411.0,15.0,18.0,16.0
173,19412.0,11.0,7.0,16.0
174,19415.0,2.0,5.0,16.0
175,19416.0,1.0,12.0,16.0
176,19417.0,10.0,18.0,16.0
177,19419.0,14.0,13.0,16.0
178,19424.0,7.0,17.0,16.0
179,19428.0,5.0,20.0,16.0
180,19430.0,9.0,4.0,16.0
181,19431.0,3.0,19.0,16.0
182,19433.0,4.0,11.0,16.0
183,19439.0,0.0,4.0,16.0
184,19440.0,13.0,10.0,16.0
185,19441.0,6.0,16.0,16.0
186,19442.0,8.0,7.0,16.0
187,19443.0,12.0,18.0,16.0
188,19447.0,15.0,17.0,16.0
189,19451.0,11.0,7.0,16.0
190,19452.0,2.0,6.0,16.0
191,19456.0,1.0,11.0,16.0
192,19457.0,10.0,17.0,16.0
193,19458.0,14.0,13.0,16.0
194,19462.0,7.0,17.0,16.0
195,19463.0,5.0,19.0,16.0
