,0,1,2
0,0.0,0.0,0.0
1,770.0,0.0,5.0
2,771.0,1.0,1.0
3,773.0,2.0,6.0
4,774.0,0.0,4.0
5,778.0,3.0,4.0
6,785.0,0.0,5.0
7,786.0,2.0,6.0
8,787.0,3.0,3.0
9,790.0,0.0,5.0
10,792.0,3.0,5.0
11,793.0,0.0,4.0
12,794.0,3.0,5.0
13,795.0,3.0,4.0
14,804.0,3.0,5.0
15,806.0,3.0,5.0
16,812.0,3.0,5.0
17,813.0,3.0,3.0
18,816.0,3.0,5.0
19,819.0,1.0,0.0
20,821.0,3.0,4.0
21,826.0,2.0,5.0
22,829.0,1.0,3.0
23,831.0,3.0,5.0
24,837.0,0.0,4.0
25,838.0,2.0,4.0
26,840.0,1.0,1.0
27,842.0,3.0,4.0
28,844.0,2.0,6.0
29,845.0,2.0,6.0
30,863.0,0.0,5.0
31,866.0,0.0,5.0
32,869.0,2.0,6.0
33,872.0,3.0,5.0
34,873.0,0.0,4.0
35,878.0,1.0,1.0
36,881.0,2.0,5.0
37,883.0,0.0,4.0
38,886.0,0.0,4.0
39,891.0,0.0,4.0
40,893.0,0.0,5.0
41,895.0,2.0,5.0
42,900.0,0.0,4.0
43,909.0,2.0,6.0
44,910.0,0.0,4.0
45,913.0,3.0,3.0
46,922.0,3.0,3.0
47,938.0,0.0,5.0
48,947.0,3.0,5.0
49,948.0,3.0,5.0
50,955.0,0.0,4.0
51,959.0,2.0,6.0
52,961.0,2.0,6.0
53,969.0,0.0,3.0
54,977.0,3.0,5.0
55,981.0,2.0,5.0
56,983.0,0.0,5.0
57,984.0,1.0,1.0
58,985.0,3.0,4.0
59,986.0,1.0,1.0
60,988.0,2.0,6.0
61,989.0,1.0,2.0
62,994.0,0.0,5.0
63,998.0,0.0,4.0
64,1002.0,0.0,5.0
65,1005.0,1.0,1.0
66,1006.0,3.0,4.0
67,1008.0,0.0,4.0
68,1017.0,0.0,4.0
69,1018.0,3.0,4.0
70,1020.0,0.0,4.0
71,1022.0,0.0,3.0
72,1023.0,3.0,4.0
73,1029.0,0.0,4.0
74,1032.0,0.0,4.0
75,1037.0,3.0,4.0
76,1038.0,3.0,4.0
77,1041.0,0.0,4.0
78,1043.0,0.0,5.0
79,1047.0,0.0,5.0
80,1048.0,0.0,3.0
81,1049.0,1.0,0.0
82,1054.0,3.0,4.0
83,1058.0,0.0,4.0
84,1062.0,2.0,5.0
85,1063.0,0.0,5.0
86,1065.0,2.0,5.0
87,1068.0,3.0,4.0
88,1076.0,0.0,4.0
89,1080.0,2.0,5.0
90,1084.0,0.0,4.0
91,1088.0,2.0,5.0
92,1091.0,2.0,5.0
93,1092.0,2.0,6.0
94,1094.0,1.0,2.0
95,1095.0,3.0,4.0
96,1096.0,0.0,4.0
97,1098.0,3.0,5.0
98,1100.0,3.0,4.0
99,1102.0,3.0,5.0
100,1106.0,3.0,5.0
101,1108.0,3.0,4.0
102,1109.0,2.0,5.0
103,1111.0,2.0,5.0
104,1113.0,2.0,6.0
105,1115.0,1.0,2.0
106,1120.0,3.0,4.0
107,1121.0,2.0,5.0
108,1123.0,2.0,6.0
109,1124.0,2.0,6.0
110,1125.0,3.0,5.0
111,1126.0,0.0,4.0
112,1128.0,0.0,3.0
113,1132.0,0.0,4.0
114,1134.0,3.0,4.0
115,1136.0,0.0,4.0
116,1137.0,2.0,5.0
117,1143.0,3.0,4.0
118,1146.0,0.0,5.0
119,1147.0,1.0,1.0
120,1152.0,3.0,5.0
121,1153.0,2.0,5.0
