,0
0,theta_store
1,5.0
2,5.0
3,5.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,5.0
10,5.0
11,4.5
12,4.5
13,4.5
14,4.5
15,4.5
16,4.5
17,4.5
18,4.5
19,4.5
20,4.5
21,4.666666666666667
22,4.666666666666667
23,4.666666666666667
24,4.666666666666667
25,4.666666666666667
26,4.666666666666667
27,4.666666666666667
28,4.666666666666667
29,4.666666666666667
30,4.666666666666667
31,4.5
32,4.5
33,4.5
34,4.5
35,4.5
36,4.5
37,4.5
38,4.5
39,4.5
40,4.5
41,4.6
42,4.6
43,4.6
44,4.6
45,4.6
46,4.6
47,4.6
48,4.6
49,4.6
50,4.6
51,4.5
52,4.5
53,4.5
54,4.5
55,4.5
56,4.5
57,4.5
58,4.5
59,4.5
60,4.5
61,4.428571428571429
62,4.428571428571429
63,4.428571428571429
64,4.428571428571429
65,4.428571428571429
66,4.428571428571429
67,4.428571428571429
68,4.428571428571429
69,4.428571428571429
70,4.428571428571429
71,4.25
72,4.25
73,4.25
74,4.25
75,4.25
76,4.25
77,4.25
78,4.25
79,4.25
80,4.25
81,4.222222222222222
82,4.222222222222222
83,4.222222222222222
84,4.222222222222222
85,4.222222222222222
86,4.222222222222222
87,4.222222222222222
88,4.222222222222222
89,4.222222222222222
90,4.222222222222222
91,4.2
92,4.2
93,4.2
94,4.2
95,4.2
96,4.2
97,4.2
98,4.2
99,4.2
100,4.2
