,0
0,theta_store
1,5.0
2,5.0
3,5.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,5.0
10,5.0
11,5.0
12,5.0
13,5.0
14,5.0
15,5.0
16,5.0
17,5.0
18,5.0
19,5.0
20,5.0
21,4.666666666666667
22,4.666666666666667
23,4.666666666666667
24,4.666666666666667
25,4.666666666666667
26,4.666666666666667
27,4.666666666666667
28,4.666666666666667
29,4.666666666666667
30,4.666666666666667
31,4.5
32,4.5
33,4.5
34,4.5
35,4.5
36,4.5
37,4.5
38,4.5
39,4.5
40,4.5
41,4.4
42,4.4
43,4.4
44,4.4
45,4.4
46,4.4
47,4.4
48,4.4
49,4.4
50,4.4
51,4.333333333333333
52,4.333333333333333
53,4.333333333333333
54,4.333333333333333
55,4.333333333333333
56,4.333333333333333
57,4.333333333333333
58,4.333333333333333
59,4.333333333333333
60,4.333333333333333
61,4.285714285714286
62,4.285714285714286
63,4.285714285714286
64,4.285714285714286
65,4.285714285714286
66,4.285714285714286
67,4.285714285714286
68,4.285714285714286
69,4.285714285714286
70,4.285714285714286
71,4.25
72,4.25
73,4.25
74,4.25
75,4.25
76,4.25
77,4.25
78,4.25
79,4.25
80,4.25
81,4.111111111111111
82,4.111111111111111
83,4.111111111111111
84,4.111111111111111
85,4.111111111111111
86,4.111111111111111
87,4.111111111111111
88,4.111111111111111
89,4.111111111111111
90,4.111111111111111
91,4.1
92,4.1
93,4.1
94,4.1
95,4.1
96,4.1
97,4.1
98,4.1
99,4.1
100,4.1
101,4.090909090909091
102,4.090909090909091
103,4.090909090909091
104,4.090909090909091
105,4.090909090909091
106,4.090909090909091
107,4.090909090909091
108,4.090909090909091
109,4.090909090909091
110,4.090909090909091
111,4.083333333333333
112,4.083333333333333
113,4.083333333333333
114,4.083333333333333
115,4.083333333333333
116,4.083333333333333
117,4.083333333333333
118,4.083333333333333
119,4.083333333333333
120,4.083333333333333
121,4.153846153846154
122,4.153846153846154
123,4.153846153846154
124,4.153846153846154
125,4.153846153846154
126,4.153846153846154
127,4.153846153846154
128,4.153846153846154
129,4.153846153846154
130,4.153846153846154
