,0,1,2,3,4,5
0,0.0,2.0,5.0,1.0,1.0,0.0
1,1.0,2.0,5.0,1.0,1.0,0.0
2,6.0,2.0,5.0,1.0,1.0,0.0
3,7.0,2.0,5.0,1.0,1.0,0.0
4,10.0,2.0,4.0,1.0,1.0,0.0
5,11.0,2.0,6.0,1.0,1.0,0.0
6,12.0,2.0,5.0,1.0,1.0,0.0
7,13.0,2.0,5.0,1.0,1.0,0.0
8,14.0,2.0,5.0,1.0,1.0,0.0
9,19.0,2.0,5.0,1.0,1.0,0.0
10,68.0,1.0,2.0,0.0,0.175,1.0
11,74.0,1.0,2.0,0.0,0.175,1.0
12,76.0,1.0,1.0,0.0,0.175,1.0
13,100.0,1.0,1.0,0.0,0.175,1.0
14,126.0,1.0,3.0,0.0,0.175,1.0
15,198.0,1.0,2.0,0.0,0.175,1.0
16,206.0,1.0,1.0,0.0,0.175,1.0
17,231.0,1.0,2.0,0.0,0.175,1.0
18,242.0,1.0,1.0,0.0,0.175,1.0
19,262.0,1.0,1.0,0.0,0.175,1.0
20,27.0,2.0,5.0,0.0,0.175,1.0
21,29.0,2.0,6.0,0.0,0.175,1.0
22,281.0,0.0,3.0,0.0,0.15000000000000002,2.0
23,348.0,0.0,4.0,0.0,0.15000000000000002,2.0
24,375.0,0.0,5.0,0.0,0.15000000000000002,2.0
25,393.0,0.0,4.0,0.0,0.15000000000000002,2.0
26,424.0,0.0,3.0,0.0,0.15000000000000002,2.0
27,437.0,0.0,4.0,0.0,0.15000000000000002,2.0
28,492.0,0.0,4.0,0.0,0.15000000000000002,2.0
29,497.0,0.0,4.0,0.0,0.15000000000000002,2.0
30,560.0,0.0,5.0,0.0,0.15000000000000002,2.0
31,609.0,0.0,4.0,0.0,0.15000000000000002,2.0
32,263.0,2.0,4.0,0.0,0.15000000000000002,2.0
33,268.0,2.0,5.0,0.0,0.15000000000000002,2.0
34,619.0,3.0,0.0,0.0,0.125,3.0
35,706.0,3.0,0.0,0.0,0.125,3.0
36,738.0,3.0,1.0,0.0,0.125,3.0
37,780.0,3.0,1.0,0.0,0.125,3.0
38,781.0,3.0,0.0,0.0,0.125,3.0
39,811.0,3.0,2.0,0.0,0.125,3.0
40,825.0,3.0,1.0,0.0,0.125,3.0
41,888.0,3.0,1.0,0.0,0.125,3.0
42,907.0,3.0,1.0,0.0,0.125,3.0
43,924.0,3.0,1.0,0.0,0.125,3.0
44,614.0,2.0,5.0,0.0,0.125,3.0
45,622.0,2.0,5.0,0.0,0.125,3.0
