,0,1,2,3,4,5
0,2.0,5.0,10.0,1.0,1.0,0.0
1,4.0,5.0,11.0,1.0,1.0,0.0
2,5.0,5.0,9.0,1.0,1.0,0.0
3,8.0,5.0,11.0,1.0,1.0,0.0
4,15.0,5.0,11.0,1.0,1.0,0.0
5,39.0,4.0,7.0,0.0,0.1875,1.0
6,82.0,4.0,6.0,0.0,0.1875,1.0
7,104.0,4.0,6.0,0.0,0.1875,1.0
8,106.0,4.0,6.0,0.0,0.1875,1.0
9,116.0,4.0,6.0,0.0,0.1875,1.0
10,119.0,2.0,4.0,0.0,0.175,2.0
11,133.0,2.0,4.0,0.0,0.175,2.0
12,137.0,2.0,4.0,0.0,0.175,2.0
13,140.0,2.0,4.0,0.0,0.175,2.0
14,147.0,2.0,3.0,0.0,0.175,2.0
15,191.0,7.0,12.0,0.0,0.1625,3.0
16,234.0,7.0,10.0,0.0,0.1625,3.0
17,244.0,7.0,10.0,0.0,0.1625,3.0
18,250.0,7.0,12.0,0.0,0.1625,3.0
19,260.0,7.0,11.0,0.0,0.1625,3.0
20,261.0,1.0,5.0,0.0,0.15000000000000002,4.0
21,297.0,1.0,7.0,0.0,0.15000000000000002,4.0
22,309.0,1.0,6.0,0.0,0.15000000000000002,4.0
23,346.0,1.0,6.0,0.0,0.15000000000000002,4.0
24,361.0,1.0,7.0,0.0,0.15000000000000002,4.0
25,373.0,0.0,4.0,0.0,0.13749999999999998,5.0
26,412.0,0.0,2.0,0.0,0.13749999999999998,5.0
27,446.0,0.0,2.0,0.0,0.13749999999999998,5.0
28,453.0,0.0,4.0,0.0,0.13749999999999998,5.0
29,470.0,0.0,2.0,0.0,0.13749999999999998,5.0
30,488.0,3.0,9.0,0.0,0.125,6.0
31,489.0,3.0,11.0,0.0,0.125,6.0
32,548.0,3.0,10.0,0.0,0.125,6.0
33,549.0,3.0,10.0,0.0,0.125,6.0
34,556.0,3.0,11.0,0.0,0.125,6.0
35,577.0,6.0,8.0,0.0,0.11249999999999999,7.0
36,593.0,6.0,9.0,0.0,0.11249999999999999,7.0
37,616.0,6.0,9.0,0.0,0.11249999999999999,7.0
38,637.0,6.0,9.0,0.0,0.11249999999999999,7.0
39,668.0,6.0,10.0,0.0,0.11249999999999999,7.0
