,0,1,2,3,4,5
0,0.0,6.0,10.0,1.0,1.0,0.0
1,3.0,6.0,10.0,1.0,1.0,0.0
2,14.0,6.0,11.0,1.0,1.0,0.0
3,15.0,6.0,10.0,1.0,1.0,0.0
4,17.0,6.0,10.0,1.0,1.0,0.0
5,19.0,6.0,10.0,1.0,1.0,0.0
6,21.0,6.0,10.0,1.0,1.0,0.0
7,23.0,6.0,10.0,1.0,1.0,0.0
8,28.0,6.0,11.0,1.0,1.0,0.0
9,29.0,6.0,10.0,1.0,1.0,0.0
10,30.0,6.0,10.0,1.0,1.0,0.0
11,34.0,6.0,10.0,1.0,1.0,0.0
12,35.0,6.0,11.0,1.0,1.0,0.0
13,36.0,6.0,10.0,1.0,1.0,0.0
14,40.0,6.0,10.0,1.0,1.0,0.0
15,44.0,6.0,10.0,1.0,1.0,0.0
16,48.0,6.0,10.0,1.0,1.0,0.0
17,50.0,6.0,11.0,1.0,1.0,0.0
18,56.0,6.0,10.0,1.0,1.0,0.0
19,57.0,6.0,9.0,1.0,1.0,0.0
20,60.0,6.0,10.0,1.0,1.0,0.0
21,63.0,6.0,10.0,1.0,1.0,0.0
22,65.0,6.0,10.0,1.0,1.0,0.0
23,70.0,6.0,11.0,1.0,1.0,0.0
24,71.0,6.0,10.0,1.0,1.0,0.0
25,73.0,6.0,10.0,1.0,1.0,0.0
26,77.0,6.0,9.0,1.0,1.0,0.0
27,78.0,6.0,10.0,1.0,1.0,0.0
28,81.0,6.0,9.0,1.0,1.0,0.0
29,84.0,6.0,10.0,1.0,1.0,0.0
30,86.0,6.0,10.0,1.0,1.0,0.0
31,97.0,6.0,10.0,1.0,1.0,0.0
32,101.0,6.0,9.0,1.0,1.0,0.0
33,102.0,6.0,9.0,1.0,1.0,0.0
34,109.0,6.0,10.0,1.0,1.0,0.0
35,112.0,6.0,10.0,1.0,1.0,0.0
36,118.0,6.0,10.0,1.0,1.0,0.0
37,119.0,6.0,10.0,1.0,1.0,0.0
38,124.0,6.0,10.0,1.0,1.0,0.0
39,130.0,6.0,10.0,1.0,1.0,0.0
40,134.0,6.0,10.0,1.0,1.0,0.0
41,135.0,6.0,11.0,1.0,1.0,0.0
42,138.0,6.0,10.0,1.0,1.0,0.0
43,147.0,6.0,10.0,1.0,1.0,0.0
44,151.0,6.0,11.0,1.0,1.0,0.0
45,152.0,6.0,11.0,1.0,1.0,0.0
