,0,1,2,3,4,5
0,3.0,6.0,11.0,1.0,1.0,0.0
1,9.0,6.0,11.0,1.0,1.0,0.0
2,16.0,6.0,12.0,1.0,1.0,0.0
3,23.0,6.0,11.0,1.0,1.0,0.0
4,25.0,6.0,12.0,1.0,1.0,0.0
5,26.0,6.0,11.0,1.0,1.0,0.0
6,30.0,6.0,11.0,1.0,1.0,0.0
7,31.0,6.0,10.0,1.0,1.0,0.0
8,34.0,6.0,11.0,1.0,1.0,0.0
9,37.0,6.0,11.0,1.0,1.0,0.0
10,45.0,2.0,10.0,0.0,0.375,1.0
11,70.0,2.0,10.0,0.0,0.375,1.0
12,71.0,2.0,11.0,0.0,0.375,1.0
13,72.0,2.0,10.0,0.0,0.375,1.0
14,75.0,2.0,9.0,0.0,0.375,1.0
15,96.0,2.0,11.0,0.0,0.375,1.0
16,97.0,2.0,11.0,0.0,0.375,1.0
17,111.0,2.0,10.0,0.0,0.375,1.0
18,118.0,2.0,10.0,0.0,0.375,1.0
19,121.0,2.0,7.0,0.0,0.375,1.0
20,41.0,6.0,11.0,0.0,0.375,1.0
21,134.0,0.0,10.0,0.0,0.35,2.0
22,141.0,0.0,11.0,0.0,0.35,2.0
23,142.0,0.0,10.0,0.0,0.35,2.0
24,156.0,0.0,7.0,0.0,0.35,2.0
25,171.0,0.0,11.0,0.0,0.35,2.0
26,174.0,0.0,9.0,0.0,0.35,2.0
27,179.0,0.0,8.0,0.0,0.35,2.0
28,184.0,0.0,10.0,0.0,0.35,2.0
29,186.0,0.0,9.0,0.0,0.35,2.0
30,194.0,0.0,9.0,0.0,0.35,2.0
31,123.0,6.0,9.0,0.0,0.35,2.0
32,204.0,3.0,10.0,0.0,0.325,3.0
33,207.0,3.0,10.0,0.0,0.325,3.0
34,209.0,3.0,11.0,0.0,0.325,3.0
35,211.0,3.0,11.0,0.0,0.325,3.0
36,239.0,3.0,9.0,0.0,0.325,3.0
37,246.0,3.0,9.0,0.0,0.325,3.0
38,257.0,3.0,10.0,0.0,0.325,3.0
39,258.0,3.0,10.0,0.0,0.325,3.0
40,289.0,3.0,10.0,0.0,0.325,3.0
41,292.0,3.0,8.0,0.0,0.325,3.0
42,196.0,6.0,11.0,0.0,0.325,3.0
43,296.0,4.0,6.0,0.0,0.30000000000000004,4.0
44,302.0,4.0,8.0,0.0,0.30000000000000004,4.0
45,303.0,4.0,8.0,0.0,0.30000000000000004,4.0
46,308.0,4.0,8.0,0.0,0.30000000000000004,4.0
47,324.0,4.0,9.0,0.0,0.30000000000000004,4.0
48,329.0,4.0,7.0,0.0,0.30000000000000004,4.0
49,330.0,4.0,7.0,0.0,0.30000000000000004,4.0
50,341.0,4.0,8.0,0.0,0.30000000000000004,4.0
51,374.0,4.0,9.0,0.0,0.30000000000000004,4.0
52,381.0,4.0,8.0,0.0,0.30000000000000004,4.0
53,305.0,6.0,12.0,0.0,0.30000000000000004,4.0
54,395.0,1.0,10.0,0.0,0.27499999999999997,5.0
55,403.0,1.0,10.0,0.0,0.27499999999999997,5.0
56,430.0,1.0,9.0,0.0,0.27499999999999997,5.0
57,441.0,1.0,9.0,0.0,0.27499999999999997,5.0
58,445.0,1.0,8.0,0.0,0.27499999999999997,5.0
59,538.0,1.0,10.0,0.0,0.27499999999999997,5.0
60,542.0,1.0,9.0,0.0,0.27499999999999997,5.0
61,566.0,1.0,9.0,0.0,0.27499999999999997,5.0
62,576.0,1.0,9.0,0.0,0.27499999999999997,5.0
63,580.0,1.0,9.0,0.0,0.27499999999999997,5.0
64,383.0,6.0,11.0,0.0,0.27499999999999997,5.0
65,583.0,5.0,4.0,0.0,0.25,6.0
66,586.0,5.0,5.0,0.0,0.25,6.0
67,618.0,5.0,4.0,0.0,0.25,6.0
68,634.0,5.0,4.0,0.0,0.25,6.0
69,649.0,5.0,3.0,0.0,0.25,6.0
70,680.0,5.0,3.0,0.0,0.25,6.0
71,694.0,5.0,4.0,0.0,0.25,6.0
72,697.0,5.0,3.0,0.0,0.25,6.0
73,704.0,5.0,5.0,0.0,0.25,6.0
74,705.0,5.0,2.0,0.0,0.25,6.0
75,582.0,6.0,11.0,0.0,0.25,6.0
76,718.0,7.0,5.0,0.0,0.22499999999999998,7.0
77,730.0,7.0,2.0,0.0,0.22499999999999998,7.0
78,731.0,7.0,2.0,0.0,0.22499999999999998,7.0
79,736.0,7.0,3.0,0.0,0.22499999999999998,7.0
80,747.0,7.0,5.0,0.0,0.22499999999999998,7.0
81,770.0,7.0,1.0,0.0,0.22499999999999998,7.0
82,774.0,7.0,2.0,0.0,0.22499999999999998,7.0
83,785.0,7.0,5.0,0.0,0.22499999999999998,7.0
84,786.0,7.0,2.0,0.0,0.22499999999999998,7.0
85,787.0,7.0,4.0,0.0,0.22499999999999998,7.0
86,715.0,6.0,14.0,0.0,0.22499999999999998,7.0
