,0,1,2,3
0,772.0,3.0,6.0,8.0
1,776.0,3.0,6.0,8.0
2,777.0,3.0,4.0,8.0
3,779.0,3.0,3.0,8.0
4,780.0,3.0,5.0,8.0
5,781.0,5.0,8.0,8.0
6,782.0,5.0,9.0,8.0
7,789.0,5.0,10.0,8.0
8,796.0,5.0,9.0,8.0
9,797.0,5.0,10.0,8.0
10,798.0,7.0,7.0,8.0
11,800.0,7.0,4.0,8.0
12,803.0,7.0,6.0,8.0
13,805.0,7.0,7.0,8.0
14,808.0,7.0,7.0,8.0
15,809.0,6.0,2.0,8.0
16,810.0,6.0,2.0,8.0
17,811.0,6.0,4.0,8.0
18,815.0,6.0,4.0,8.0
19,817.0,6.0,3.0,8.0
20,818.0,4.0,9.0,8.0
21,820.0,4.0,9.0,8.0
22,825.0,4.0,8.0,8.0
23,828.0,4.0,8.0,8.0
24,830.0,4.0,9.0,8.0
25,832.0,1.0,4.0,8.0
26,833.0,1.0,5.0,8.0
27,835.0,1.0,3.0,8.0
28,841.0,1.0,4.0,8.0
29,847.0,1.0,5.0,8.0
30,848.0,2.0,9.0,8.0
31,850.0,2.0,9.0,8.0
32,851.0,2.0,8.0,8.0
33,856.0,2.0,10.0,8.0
34,857.0,2.0,9.0,8.0
35,865.0,0.0,4.0,8.0
36,870.0,0.0,6.0,8.0
37,871.0,0.0,5.0,8.0
38,874.0,0.0,4.0,8.0
39,875.0,0.0,4.0,8.0
40,876.0,3.0,5.0,8.0
41,880.0,5.0,9.0,8.0
42,882.0,7.0,8.0,8.0
43,885.0,6.0,2.0,8.0
44,888.0,4.0,9.0,8.0
45,894.0,1.0,7.0,8.0
46,897.0,2.0,10.0,8.0
47,899.0,0.0,3.0,8.0
48,902.0,3.0,5.0,5.0
49,905.0,5.0,10.0,5.0
50,907.0,7.0,6.0,5.0
51,916.0,4.0,8.0,5.0
52,918.0,2.0,8.0,5.0
53,920.0,3.0,4.0,5.0
54,923.0,5.0,9.0,5.0
55,924.0,7.0,6.0,5.0
56,925.0,4.0,8.0,5.0
57,931.0,2.0,9.0,5.0
58,932.0,5.0,11.0,4.0
59,935.0,7.0,6.0,4.0
60,936.0,4.0,10.0,4.0
61,937.0,2.0,8.0,4.0
62,942.0,5.0,11.0,4.0
63,943.0,7.0,7.0,4.0
64,944.0,4.0,10.0,4.0
65,946.0,2.0,9.0,4.0
66,951.0,5.0,10.0,4.0
67,953.0,7.0,6.0,4.0
68,954.0,4.0,9.0,4.0
69,956.0,2.0,11.0,4.0
70,957.0,5.0,10.0,4.0
71,963.0,7.0,6.0,4.0
72,964.0,4.0,9.0,4.0
73,966.0,2.0,10.0,4.0
74,973.0,5.0,10.0,4.0
75,974.0,7.0,6.0,4.0
76,976.0,4.0,8.0,4.0
77,978.0,2.0,9.0,4.0
78,979.0,5.0,11.0,4.0
79,982.0,7.0,6.0,4.0
80,992.0,4.0,10.0,4.0
81,996.0,2.0,9.0,4.0
82,997.0,5.0,10.0,3.0
83,1001.0,4.0,10.0,3.0
84,1004.0,2.0,8.0,3.0
85,1007.0,5.0,9.0,3.0
86,1010.0,4.0,10.0,3.0
87,1011.0,2.0,10.0,3.0
88,1014.0,5.0,11.0,3.0
89,1015.0,4.0,9.0,3.0
90,1016.0,2.0,9.0,3.0
91,1019.0,5.0,11.0,3.0
92,1021.0,4.0,9.0,3.0
93,1028.0,2.0,11.0,3.0
94,1030.0,5.0,10.0,3.0
95,1035.0,4.0,9.0,3.0
96,1040.0,2.0,9.0,3.0
97,1042.0,5.0,11.0,3.0
98,1045.0,4.0,9.0,3.0
99,1053.0,2.0,8.0,3.0
100,1055.0,5.0,8.0,3.0
101,1056.0,4.0,10.0,3.0
102,1060.0,2.0,11.0,3.0
103,1061.0,5.0,11.0,3.0
104,1064.0,4.0,9.0,3.0
105,1066.0,2.0,9.0,3.0
106,1067.0,5.0,11.0,3.0
107,1069.0,4.0,10.0,3.0
108,1070.0,2.0,10.0,3.0
109,1074.0,5.0,10.0,3.0
110,1077.0,4.0,8.0,3.0
111,1078.0,2.0,9.0,3.0
112,1082.0,5.0,10.0,3.0
113,1083.0,4.0,10.0,3.0
114,1085.0,2.0,7.0,3.0
115,1087.0,5.0,10.0,3.0
116,1089.0,4.0,10.0,3.0
117,1090.0,2.0,9.0,3.0
118,1093.0,5.0,11.0,3.0
119,1097.0,4.0,8.0,3.0
120,1101.0,2.0,7.0,3.0
121,1104.0,5.0,11.0,3.0
122,1105.0,4.0,7.0,3.0
123,1112.0,2.0,12.0,3.0
124,1116.0,5.0,10.0,3.0
125,1119.0,4.0,7.0,3.0
126,1127.0,2.0,9.0,3.0
127,1129.0,5.0,13.0,3.0
128,1130.0,4.0,9.0,3.0
129,1133.0,2.0,7.0,3.0
130,1139.0,5.0,9.0,3.0
131,1140.0,4.0,11.0,3.0
132,1141.0,2.0,10.0,3.0
133,1142.0,5.0,10.0,3.0
134,1145.0,4.0,8.0,3.0
135,1148.0,2.0,11.0,3.0
136,1156.0,5.0,11.0,3.0
137,1158.0,4.0,10.0,3.0
138,1163.0,2.0,8.0,3.0
139,1165.0,5.0,10.0,3.0
140,1166.0,4.0,12.0,3.0
