,0
0,theta_store
1,2.790915298389083
2,5.718233594128431
3,6.408539798899108
4,5.732268681847729
5,0.047619047619048095
6,2.7556783302639656
7,3.484767551748444
8,2.7532228360957642
9,0.26530612244898005
10,2.8308123249299717
11,3.549964337141857
12,2.794957983193277
13,0.3599028483108858
14,2.805770221535291
15,3.566041391961986
16,2.7789799072642967
17,0.0
18,2.8199617956064946
19,3.557634356159606
20,2.7722063037249285
21,0.0
22,2.82688028482421
23,3.575739359945801
24,2.8170894526034713
25,0.0
26,2.8529166666666668
27,3.6627859757492565
28,2.86
29,0.0
30,2.8335291813552685
31,3.657143102937021
32,2.8143360752056403
33,0.0
34,2.8684405025868442
35,3.6355086259416907
36,2.8314855875831486
37,0.0
38,2.895417978314096
39,3.677050137040299
40,2.832109129066107
41,0.0
42,2.909694555112882
43,3.723335438844029
44,2.848605577689243
45,0.0
46,2.921642969984202
47,3.7281789389567823
48,2.8502369668246446
49,0.0
50,2.9180229053646776
51,3.7144925683538927
52,2.853526220614828
53,0.0
54,2.926822241428983
55,3.749549507864655
56,2.878133102852204
57,0.0
58,2.8984547461368653
59,3.74439468592666
60,2.8567880794701987
61,0.0
62,2.899391051098756
63,3.749983145829552
64,2.847498014297061
65,0.0
66,2.9323155216284986
67,3.7788005958774087
68,2.8885496183206105
69,0.0
70,2.9039921626255207
71,3.7819462017629726
72,2.888317413666422
73,0.0
74,2.924457034938621
75,3.810360326203545
76,2.8866855524079322
77,0.0
78,2.944862155388471
79,3.816287614900482
80,2.8749145591250853
81,0.0
82,2.9328489652135623
83,3.8112475433285375
84,2.8784676354029064
85,0.0
86,2.938871139510117
87,3.8218714253031347
88,2.9022364217252394
89,0.0
90,2.933374587458746
91,3.814498007796662
92,2.887376237623762
93,0.0
94,2.9318136372725454
95,3.836369994360771
96,2.8998200359928012
97,0.0
98,2.943150950717889
99,3.8150342145514586
100,2.890570430733411
101,0.0
102,2.9516007532956685
103,3.8306377291522065
104,0.0
105,0.0
106,2.931028174167581
107,3.836569034357522
108,0.0
