,0,1,2,3,4,5
0,1.0,2.0,4.0,1.0,1.0,0.0
1,5.0,2.0,4.0,1.0,1.0,0.0
2,7.0,2.0,4.0,1.0,1.0,0.0
3,8.0,2.0,4.0,1.0,1.0,0.0
4,12.0,2.0,4.0,1.0,1.0,0.0
5,16.0,2.0,4.0,1.0,1.0,0.0
6,18.0,2.0,4.0,1.0,1.0,0.0
7,22.0,2.0,4.0,1.0,1.0,0.0
8,25.0,2.0,4.0,1.0,1.0,0.0
9,26.0,2.0,4.0,1.0,1.0,0.0
10,27.0,2.0,4.0,1.0,1.0,0.0
11,31.0,2.0,4.0,1.0,1.0,0.0
12,33.0,2.0,4.0,1.0,1.0,0.0
13,38.0,2.0,4.0,1.0,1.0,0.0
14,41.0,2.0,4.0,1.0,1.0,0.0
15,43.0,2.0,4.0,1.0,1.0,0.0
16,45.0,2.0,4.0,1.0,1.0,0.0
17,47.0,2.0,4.0,1.0,1.0,0.0
18,49.0,2.0,4.0,1.0,1.0,0.0
19,51.0,2.0,4.0,1.0,1.0,0.0
20,53.0,2.0,4.0,1.0,1.0,0.0
21,54.0,2.0,4.0,1.0,1.0,0.0
22,55.0,2.0,4.0,1.0,1.0,0.0
23,58.0,2.0,4.0,1.0,1.0,0.0
24,59.0,2.0,3.0,1.0,1.0,0.0
25,61.0,2.0,4.0,1.0,1.0,0.0
26,62.0,2.0,4.0,1.0,1.0,0.0
27,67.0,2.0,4.0,1.0,1.0,0.0
28,68.0,2.0,4.0,1.0,1.0,0.0
29,80.0,2.0,5.0,1.0,1.0,0.0
30,82.0,2.0,4.0,1.0,1.0,0.0
31,83.0,2.0,4.0,1.0,1.0,0.0
32,90.0,2.0,4.0,1.0,1.0,0.0
33,93.0,2.0,4.0,1.0,1.0,0.0
34,94.0,2.0,4.0,1.0,1.0,0.0
35,95.0,2.0,4.0,1.0,1.0,0.0
36,99.0,2.0,5.0,1.0,1.0,0.0
37,103.0,2.0,4.0,1.0,1.0,0.0
38,104.0,2.0,4.0,1.0,1.0,0.0
39,105.0,2.0,4.0,1.0,1.0,0.0
40,106.0,2.0,4.0,1.0,1.0,0.0
41,108.0,2.0,4.0,1.0,1.0,0.0
42,114.0,2.0,4.0,1.0,1.0,0.0
43,115.0,2.0,4.0,1.0,1.0,0.0
44,120.0,2.0,4.0,1.0,1.0,0.0
45,121.0,2.0,4.0,1.0,1.0,0.0
46,122.0,2.0,4.0,1.0,1.0,0.0
47,123.0,2.0,4.0,1.0,1.0,0.0
48,125.0,2.0,4.0,1.0,1.0,0.0
49,126.0,2.0,4.0,1.0,1.0,0.0
50,213.0,0.0,2.0,0.0,0.035,1.0
51,256.0,0.0,2.0,0.0,0.035,1.0
52,262.0,0.0,2.0,0.0,0.035,1.0
53,300.0,0.0,2.0,0.0,0.035,1.0
54,405.0,0.0,2.0,0.0,0.035,1.0
55,482.0,0.0,2.0,0.0,0.035,1.0
56,596.0,0.0,1.0,0.0,0.035,1.0
57,689.0,0.0,2.0,0.0,0.035,1.0
58,962.0,0.0,2.0,0.0,0.035,1.0
59,978.0,0.0,2.0,0.0,0.035,1.0
60,979.0,0.0,2.0,0.0,0.035,1.0
61,1001.0,0.0,2.0,0.0,0.035,1.0
62,1009.0,0.0,2.0,0.0,0.035,1.0
63,1046.0,0.0,2.0,0.0,0.035,1.0
64,1149.0,0.0,3.0,0.0,0.035,1.0
65,1293.0,0.0,2.0,0.0,0.035,1.0
66,1332.0,0.0,2.0,0.0,0.035,1.0
67,1340.0,0.0,2.0,0.0,0.035,1.0
68,1614.0,0.0,2.0,0.0,0.035,1.0
69,1662.0,0.0,3.0,0.0,0.035,1.0
70,1777.0,0.0,2.0,0.0,0.035,1.0
71,1841.0,0.0,2.0,0.0,0.035,1.0
72,1910.0,0.0,3.0,0.0,0.035,1.0
73,2000.0,0.0,2.0,0.0,0.035,1.0
74,2083.0,0.0,2.0,0.0,0.035,1.0
75,2207.0,0.0,2.0,0.0,0.035,1.0
76,2226.0,0.0,2.0,0.0,0.035,1.0
77,2256.0,0.0,2.0,0.0,0.035,1.0
78,2375.0,0.0,2.0,0.0,0.035,1.0
79,2532.0,0.0,2.0,0.0,0.035,1.0
80,2540.0,0.0,2.0,0.0,0.035,1.0
81,2604.0,0.0,2.0,0.0,0.035,1.0
82,2694.0,0.0,2.0,0.0,0.035,1.0
83,2736.0,0.0,2.0,0.0,0.035,1.0
84,2746.0,0.0,2.0,0.0,0.035,1.0
85,2794.0,0.0,2.0,0.0,0.035,1.0
86,2854.0,0.0,2.0,0.0,0.035,1.0
87,2865.0,0.0,2.0,0.0,0.035,1.0
88,2886.0,0.0,2.0,0.0,0.035,1.0
89,2890.0,0.0,2.0,0.0,0.035,1.0
90,2992.0,0.0,3.0,0.0,0.035,1.0
91,3340.0,0.0,2.0,0.0,0.035,1.0
92,3413.0,0.0,2.0,0.0,0.035,1.0
